Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,India,Tamil Nadu,Coimbatore,1,1,2000,74
Asia,India,Tamil Nadu,Coimbatore,1,2,2000,72
Asia,India,Tamil Nadu,Coimbatore,1,3,2000,74
Asia,India,Tamil Nadu,Coimbatore,1,4,2000,75
Asia,India,Tamil Nadu,Coimbatore,1,5,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,6,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,7,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,8,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,9,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,10,2000,75
Asia,India,Tamil Nadu,Coimbatore,1,11,2000,74
Asia,India,Tamil Nadu,Coimbatore,1,12,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,13,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,14,2000,75
Asia,India,Tamil Nadu,Coimbatore,1,15,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,16,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,17,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,18,2000,75
Asia,India,Tamil Nadu,Coimbatore,1,19,2000,78
Asia,India,Tamil Nadu,Coimbatore,1,20,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,21,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,22,2000,76
Asia,India,Tamil Nadu,Coimbatore,1,23,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,24,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,25,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,26,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,27,2000,74
Asia,India,Tamil Nadu,Coimbatore,1,28,2000,75
Asia,India,Tamil Nadu,Coimbatore,1,29,2000,80
Asia,India,Tamil Nadu,Coimbatore,1,30,2000,77
Asia,India,Tamil Nadu,Coimbatore,1,31,2000,74
Asia,India,Tamil Nadu,Coimbatore,2,1,2000,74
Asia,India,Tamil Nadu,Coimbatore,2,2,2000,75
Asia,India,Tamil Nadu,Coimbatore,2,3,2000,79
Asia,India,Tamil Nadu,Coimbatore,2,4,2000,78
Asia,India,Tamil Nadu,Coimbatore,2,5,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,6,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,7,2000,79
Asia,India,Tamil Nadu,Coimbatore,2,8,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,9,2000,82
Asia,India,Tamil Nadu,Coimbatore,2,10,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,11,2000,81
Asia,India,Tamil Nadu,Coimbatore,2,12,2000,77
Asia,India,Tamil Nadu,Coimbatore,2,13,2000,79
Asia,India,Tamil Nadu,Coimbatore,2,14,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,15,2000,75
Asia,India,Tamil Nadu,Coimbatore,2,16,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,17,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,18,2000,81
Asia,India,Tamil Nadu,Coimbatore,2,19,2000,81
Asia,India,Tamil Nadu,Coimbatore,2,20,2000,81
Asia,India,Tamil Nadu,Coimbatore,2,21,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,22,2000,80
Asia,India,Tamil Nadu,Coimbatore,2,23,2000,81
