,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,1995,24.22,26.06,27.86,30.1,30.36,31.79,29.75,29,29.06,27.75,26.71,24.88
1,1996,24.78,26.2,27.59,30.18,32.09,30.08,29.68,29.82,28.49,27.44,26.3,24.74
2,1997,24.41,25.58,28.11,29.62,31.52,31.71,31.15,30.8,29.26,27.79,26,26.39
3,1998,26.41,27.39,28.77,30.23,32.34,32.51,30.36,29.22,29.63,27.42,26.68,25.2
4,1999,24.74,26.24,28.29,30.5,31.33,31.18,30.99,29.47,29.53,28.03,26.47,24.73
5,2000,26.34,27.1,27.72,30.52,31.8,30.33,29.57,28.81,28.87,27.32,26.53,24.98
6,2001,25.37,26.64,28.62,29.5,32.37,30.94,30.62,29.82,29.01,27.64,26.16,24.61
7,2002,25.01,25.96,28.1,29.88,32.27,31.35,31.51,29.86,29.56,27.42,25.77,24.92
8,2003,25.22,26.68,28.12,30.38,32.67,32.27,29.73,29.2,29.69,27.66,26.14,25.09
9,2004,24.74,25.36,27.93,30.81,29.15,30.64,29.98,30.8,28.44,27.4,26.39,25.29
10,2005,25.47,26.31,28.6,28.64,30.93,31.87,30.41,30.1,29.35,26.32,26.01,24.12
11,2006,24.37,25.87,28.49,30.62,31.48,30.84,30.77,29.89,29.03,27.52,25.41,25.32
12,2007,24.68,25.71,27.63,29.61,32.06,29.74,28.93,28.33,28.56,27.44,25.63,24.85
13,2008,24.65,26.08,26.75,29.37,32.04,30.84,30.03,29.05,29.12,27.01,25.36,25.14
14,2009,25.12,26.62,28.46,30.81,32.1,32.34,31.85,29.6,30.23,29.72,26.5,25.15
15,2010,25.15,26.15,28.74,31.17,31.48,30.24,29.09,28.94,28.74,28.46,26.54,24.67
16,2011,24.75,25.58,27.46,29.48,31.8,31.96,30.2,29.46,29.29,28.09,26.13,25.22
17,2012,24.85,25.97,28.92,30.64,33.04,32.45,30.6,29.6,29.26,27.96,26.71,25.87
18,2013,25.13,26.09,28.05,30.65,31.82,31.01,29.26,29.06,28.98,28.31,26.43,24.87
19,2014,25.12,25.5,27.92,30.42,31.61,32.16,30.95,29.7,28.91,28.21,26.46,25.64
20,2015,25.08,26.05,28.73,30.24,31.72,31.54,31.34,30.22,30.33,28.69,26.66,26.47
21,2016,26.17,27.38,29.53,31.49,31.85,30.65,30.43,30.9,29.47,29.34,26.83,25.3
22,2017,25.45,26.25,29.38,31.74,33.12,32.29,31.25,29.76,29.73,28.91,27.09,26.56
23,2018,25.3,26.69,29.01,31.46,32.56,32.56,31.9,30.47,29.83,28.67,27.57,26.42
24,2019,25.19,27.93,29.95,31.76,33.36,33.64,31.61,31.32,29.56,28.49,28.07,26.46
25,2020,26.4,27.33,28.75,30.51,38.01,37.94,34.19,33.8,33.09,33.21,30.54,29.39
